,geohash,longitude,latitude
7,ezjqh16e,-3.6878013610839844,40.43715476989746
15,ezjqh4h6,-3.6853981018066406,40.44110298156738
27,ezjq5crt,-3.6919212341308594,40.43749809265137
32,ezjq5bgq,-3.6977577209472656,40.43492317199707
35,ezjqh1gh,-3.687114715576172,40.440073013305664
49,ezjqh0fw,-3.6878013610839844,40.43492317199707
55,ezjqh0ff,-3.687458038330078,40.43423652648926
63,ezjqh1br,-3.6908912658691406,40.44058799743652
64,ezjqh1e7,-3.6867713928222656,40.438528060913086
70,ezjqh1k7,-3.6853981018066406,40.43715476989746
75,ezjqh1kk,-3.6853981018066406,40.437326431274414
79,ezjqh1sp,-3.685741424560547,40.4392147064209
87,ezjq5bu4,-3.696727752685547,40.43423652648926
92,ezjqh1bx,-3.6905479431152344,40.44058799743652
97,ezjqh1um,-3.6853981018066406,40.44024467468262
100,ezjqh13f,-3.688831329345703,40.43698310852051
131,ezjq5cye,-3.6932945251464844,40.43990135192871
135,ezjq5fj4,-3.695354461669922,40.44110298156738
141,ezjqh1d5,-3.688488006591797,40.438528060913086
146,ezjqh0be,-3.6905479431152344,40.43440818786621
148,ezjq5crs,-3.6919212341308594,40.437326431274414
153,ezjq5cwp,-3.693981170654297,40.4392147064209
154,ezjqh151,-3.687114715576172,40.43543815612793
157,ezjqh41v,-3.688831329345703,40.44161796569824
158,ezjqh0cj,-3.689861297607422,40.43475151062012
160,ezjqh0fs,-3.6878013610839844,40.434579849243164
163,ezjq5fj2,-3.6950111389160156,40.44075965881348
174,ezjqh4h0,-3.685741424560547,40.44075965881348
177,ezjq5cns,-3.6932945251464844,40.43595314025879
178,ezjq5bwz,-3.692951202392578,40.4337215423584
180,ezjqh1gk,-3.6867713928222656,40.440073013305664
181,ezjqh1k1,-3.685741424560547,40.436811447143555
186,ezjqh173,-3.6867713928222656,40.436811447143555
188,ezjq5cv7,-3.6950111389160156,40.43990135192871
191,ezjqh1ew,-3.6864280700683594,40.439043045043945
197,ezjq5cug,-3.695697784423828,40.43990135192871
202,ezjq5cvk,-3.6950111389160156,40.440073013305664
203,ezjqh1u3,-3.6853981018066406,40.439558029174805
211,ezjq5cs0,-3.696727752685547,40.43801307678223
219,ezjq5c7q,-3.6977577209472656,40.43766975402832
221,ezjq5cr5,-3.692607879638672,40.43715476989746
222,ezjqh08q,-3.6908912658691406,40.433549880981445
224,ezjqh0bc,-3.690204620361328,40.434064865112305
231,ezjqh1er,-3.6867713928222656,40.4392147064209
232,ezjqh41g,-3.688831329345703,40.441274642944336
249,ezjqh1gw,-3.6864280700683594,40.44041633605957
259,ezjq5bgc,-3.697071075439453,40.434064865112305
266,ezjq5btv,-3.694324493408203,40.43337821960449
267,ezjqh44y,-3.687458038330078,40.441789627075195
269,ezjq5cx5,-3.692607879638672,40.438528060913086
275,ezjq5bg9,-3.6974143981933594,40.434064865112305
284,ezjq5bz5,-3.692607879638672,40.43440818786621
287,ezjq5cqp,-3.693981170654297,40.43784141540527
288,ezjqh196,-3.6895179748535156,40.43835639953613
297,ezjqh403,-3.6908912658691406,40.44093132019043
302,ezjqh14b,-3.687458038330078,40.43526649475098
310,ezjqh08v,-3.690204620361328,40.43337821960449
312,ezjq5cer,-3.6977577209472656,40.4392147064209
320,ezjqh1k5,-3.685741424560547,40.43715476989746
324,ezjq5cv5,-3.695354461669922,40.43990135192871
325,ezjqh1sh,-3.685741424560547,40.43869972229004
333,ezjqh1fz,-3.687458038330078,40.44058799743652
361,ezjqh13b,-3.688831329345703,40.4366397857666
363,ezjq5cr7,-3.6922645568847656,40.43715476989746
367,ezjqh45q,-3.6867713928222656,40.441789627075195
369,ezjq5fnt,-3.6932945251464844,40.44161796569824
372,ezjqh15g,-3.686084747314453,40.435781478881836
382,ezjqh45m,-3.6867713928222656,40.44161796569824
387,ezjq5ber,-3.6977577209472656,40.4337215423584
388,ezjqh1dt,-3.6878013610839844,40.43887138366699
395,ezjq5fnc,-3.692951202392578,40.44093132019043
397,ezjq5cv4,-3.695354461669922,40.43972969055176
401,ezjqh1u4,-3.685741424560547,40.43972969055176
406,ezjqh1sq,-3.6853981018066406,40.439043045043945
413,ezjq5cjg,-3.694324493408203,40.435781478881836
422,ezjqh41s,-3.6891746520996094,40.44144630432129
424,ezjq5fj1,-3.695354461669922,40.44093132019043
426,ezjqh1dd,-3.6878013610839844,40.43835639953613
434,ezjqh1cy,-3.688831329345703,40.44041633605957
446,ezjqh1cw,-3.6891746520996094,40.44041633605957
457,ezjqh4hk,-3.6853981018066406,40.44144630432129
461,ezjq5crk,-3.6922645568847656,40.437326431274414
476,ezjqh1ek,-3.6867713928222656,40.43869972229004
477,ezjqh1cv,-3.688831329345703,40.44024467468262
480,ezjq5ceq,-3.6977577209472656,40.439043045043945
487,ezjqh09j,-3.689861297607422,40.43337821960449
493,ezjq5cq6,-3.6936378479003906,40.43698310852051
494,ezjqh1g5,-3.687114715576172,40.43990135192871
498,ezjqh44n,-3.688488006591797,40.441789627075195
499,ezjq5buf,-3.695697784423828,40.43423652648926
502,ezjqh0bs,-3.6905479431152344,40.434579849243164
518,ezjq5crc,-3.691577911376953,40.436811447143555
519,ezjqh1gp,-3.687114715576172,40.44058799743652
522,ezjq5cn7,-3.6936378479003906,40.435781478881836
531,ezjq5bg7,-3.6977577209472656,40.43440818786621
532,ezjqh0ez,-3.686084747314453,40.4337215423584
545,ezjqh1dj,-3.688488006591797,40.43887138366699
559,ezjq5bgt,-3.6974143981933594,40.43475151062012
563,ezjq5crw,-3.6919212341308594,40.43766975402832
579,ezjq5cg2,-3.6977577209472656,40.43938636779785
589,ezjqh10g,-3.690204620361328,40.435781478881836
590,ezjq5bu1,-3.696727752685547,40.434064865112305
592,ezjq5fjp,-3.695354461669922,40.44196128845215
594,ezjqh1g0,-3.687114715576172,40.43938636779785
595,ezjqh444,-3.688488006591797,40.44110298156738
603,ezjqh1df,-3.687458038330078,40.43835639953613
614,ezjqh1g2,-3.6867713928222656,40.43938636779785
617,ezjq5csv,-3.695697784423828,40.43887138366699
620,ezjqh0bf,-3.690204620361328,40.43423652648926
632,ezjqh0bt,-3.6905479431152344,40.43475151062012
634,ezjq5cmp,-3.695354461669922,40.43784141540527
639,ezjqh1ge,-3.6864280700683594,40.43990135192871
642,ezjqh0fu,-3.687458038330078,40.434579849243164
647,ezjq5cju,-3.694324493408203,40.43595314025879
651,ezjq5cqj,-3.693981170654297,40.43749809265137
659,ezjq5cww,-3.6932945251464844,40.439043045043945
660,ezjq5bvu,-3.694324493408203,40.434579849243164
668,ezjq5bg6,-3.6977577209472656,40.43423652648926
670,ezjqh1e4,-3.687114715576172,40.43835639953613
674,ezjqh1dc,-3.687458038330078,40.43818473815918
682,ezjq5c5m,-3.6977577209472656,40.43612480163574
690,ezjq5bgm,-3.6977577209472656,40.43475151062012
691,ezjq5bsm,-3.6963844299316406,40.43337821960449
692,ezjq5cr3,-3.6922645568847656,40.436811447143555
698,ezjqh44r,-3.6881446838378906,40.44196128845215
712,ezjqh1d6,-3.6881446838378906,40.43835639953613
713,ezjqh0fy,-3.687458038330078,40.43492317199707
715,ezjq5cez,-3.697071075439453,40.4392147064209
721,ezjqh1s5,-3.685741424560547,40.438528060913086
730,ezjqh148,-3.6878013610839844,40.43526649475098
734,ezjqh1ep,-3.687114715576172,40.4392147064209
740,ezjq5bxn,-3.692607879638672,40.433549880981445
747,ezjqh08w,-3.6905479431152344,40.433549880981445
748,ezjq5fnx,-3.6932945251464844,40.44196128845215
750,ezjqh08y,-3.690204620361328,40.433549880981445
751,ezjqh19d,-3.6891746520996094,40.43835639953613
763,ezjqh1eh,-3.687114715576172,40.43869972229004
767,ezjq5ce6,-3.6977577209472656,40.43835639953613
771,ezjq5f5r,-3.6977577209472656,40.44196128845215
778,ezjqh1dk,-3.6881446838378906,40.43869972229004
780,ezjqh4h7,-3.6853981018066406,40.441274642944336
786,ezjqh0gh,-3.687114715576172,40.434579849243164
791,ezjqh45j,-3.687114715576172,40.44161796569824
799,ezjq5ctm,-3.6950111389160156,40.43887138366699
808,ezjqh1gn,-3.687114715576172,40.44041633605957
827,ezjqh1sm,-3.6853981018066406,40.43887138366699
839,ezjqh419,-3.6891746520996094,40.44093132019043
840,ezjq5bu6,-3.6963844299316406,40.43423652648926
844,ezjq5cv6,-3.6950111389160156,40.43972969055176
856,ezjqh456,-3.6867713928222656,40.44110298156738
864,ezjqh44b,-3.687458038330078,40.44075965881348
869,ezjqh40v,-3.690204620361328,40.44161796569824
879,ezjqh16s,-3.6878013610839844,40.437326431274414
882,ezjqh458,-3.6864280700683594,40.44075965881348
890,ezjqh14x,-3.6878013610839844,40.43646812438965
894,ezjq5bg2,-3.6977577209472656,40.43389320373535
896,ezjqh114,-3.689861297607422,40.43560981750488
897,ezjqh44h,-3.688488006591797,40.44144630432129
900,ezjqh1dq,-3.6881446838378906,40.439043045043945
903,ezjq5czq,-3.6922645568847656,40.44041633605957
906,ezjqh1k0,-3.685741424560547,40.4366397857666
912,ezjqh1fe,-3.6878013610839844,40.43990135192871
924,ezjq5c7u,-3.697071075439453,40.437326431274414
931,ezjqh44p,-3.688488006591797,40.44196128845215
940,ezjqh440,-3.688488006591797,40.44075965881348
947,ezjqh1gm,-3.6867713928222656,40.44024467468262
958,ezjq5csj,-3.696727752685547,40.43887138366699
967,ezjqh1dh,-3.688488006591797,40.43869972229004
973,ezjqh413,-3.6895179748535156,40.44093132019043
975,ezjqh45p,-3.687114715576172,40.44196128845215
977,ezjqh45e,-3.6864280700683594,40.441274642944336
983,ezjq5csy,-3.695697784423828,40.439043045043945
984,ezjq5ce3,-3.6977577209472656,40.43818473815918
987,ezjq5crh,-3.692607879638672,40.437326431274414
989,ezjq5ck5,-3.696727752685547,40.43715476989746
997,ezjq5fnr,-3.6936378479003906,40.44196128845215
1001,ezjq5bwv,-3.692951202392578,40.43337821960449
1007,ezjqh41d,-3.6891746520996094,40.44110298156738
1019,ezjq5csz,-3.695697784423828,40.4392147064209
1022,ezjqh45k,-3.6867713928222656,40.44144630432129
1027,ezjqh0g4,-3.687114715576172,40.43423652648926
1028,ezjq5bgg,-3.697071075439453,40.43440818786621
1031,ezjq5c7y,-3.697071075439453,40.43766975402832
1032,ezjq5bgf,-3.697071075439453,40.43423652648926
1034,ezjq5cgf,-3.697071075439453,40.43972969055176
1038,ezjqh41j,-3.689861297607422,40.44161796569824
1041,ezjqh1h5,-3.685741424560547,40.435781478881836
1051,ezjq5c76,-3.6977577209472656,40.43698310852051
1053,ezjq5c7s,-3.6974143981933594,40.437326431274414
1056,ezjqh08x,-3.6905479431152344,40.4337215423584
1060,ezjqh16m,-3.6881446838378906,40.43749809265137
1061,ezjqh41y,-3.688831329345703,40.441789627075195
1063,ezjq5c57,-3.6977577209472656,40.435781478881836
1064,ezjqh0ck,-3.6895179748535156,40.434579849243164
1067,ezjqh1sr,-3.6853981018066406,40.4392147064209
1074,ezjqh1es,-3.6864280700683594,40.43869972229004
1086,ezjqh09m,-3.6895179748535156,40.43337821960449
1088,ezjqh0c4,-3.689861297607422,40.43423652648926
1108,ezjq5c52,-3.6977577209472656,40.43526649475098
1109,ezjq5cy4,-3.693981170654297,40.43972969055176
1117,ezjq5c7w,-3.6974143981933594,40.43766975402832
1123,ezjqh13c,-3.688831329345703,40.436811447143555
1124,ezjqh1bw,-3.6905479431152344,40.44041633605957
1128,ezjq5fn2,-3.6936378479003906,40.44075965881348
1131,ezjqh14j,-3.688488006591797,40.43612480163574
1142,ezjqh0bm,-3.6908912658691406,40.43475151062012
1145,ezjqh1dn,-3.688488006591797,40.439043045043945
1156,ezjq5beq,-3.6977577209472656,40.433549880981445
1158,ezjq5bxj,-3.692607879638672,40.43337821960449
1159,ezjq5fpp,-3.692607879638672,40.44196128845215
1169,ezjq5cx7,-3.6922645568847656,40.438528060913086
1170,ezjq5cv3,-3.6950111389160156,40.439558029174805
1173,ezjqh1c8,-3.6891746520996094,40.43938636779785
1174,ezjq5bwy,-3.692951202392578,40.433549880981445
1177,ezjq5cqh,-3.693981170654297,40.437326431274414
1192,ezjq5ce2,-3.6977577209472656,40.43801307678223
1193,ezjqh13m,-3.6895179748535156,40.43749809265137
1198,ezjq5bgr,-3.6977577209472656,40.43509483337402
1199,ezjq5bud,-3.6960411071777344,40.43423652648926
1207,ezjq5c53,-3.6977577209472656,40.43543815612793
1213,ezjqh0gn,-3.687114715576172,40.43492317199707
1216,ezjqh410,-3.689861297607422,40.44075965881348
1229,ezjqh1en,-3.687114715576172,40.439043045043945
1236,ezjq5c5r,-3.6977577209472656,40.43646812438965
1240,ezjq5crq,-3.6922645568847656,40.43766975402832
1247,ezjqh0b8,-3.6905479431152344,40.43389320373535
1250,ezjqh19e,-3.6891746520996094,40.438528060913086
1256,ezjq5bvg,-3.694324493408203,40.43440818786621
1258,ezjqh0fz,-3.687458038330078,40.43509483337402
1259,ezjqh1fp,-3.688488006591797,40.44058799743652
1262,ezjq5fnw,-3.6932945251464844,40.441789627075195
1263,ezjqh166,-3.6881446838378906,40.43698310852051
1264,ezjq5c7k,-3.6977577209472656,40.437326431274414
1266,ezjq5cek,-3.6977577209472656,40.43869972229004
1267,ezjq5ch9,-3.6960411071777344,40.43543815612793
1268,ezjq5cpu,-3.691577911376953,40.43595314025879
1275,ezjq5cnh,-3.693981170654297,40.43595314025879
1277,ezjqh41n,-3.689861297607422,40.441789627075195
1278,ezjqh1fg,-3.687458038330078,40.43990135192871
1284,ezjqh1eq,-3.6867713928222656,40.439043045043945
1288,ezjqh44s,-3.6878013610839844,40.44144630432129
1300,ezjq5fny,-3.692951202392578,40.441789627075195
1301,ezjqh41z,-3.688831329345703,40.44196128845215
1304,ezjq5ctn,-3.695354461669922,40.439043045043945
1305,ezjqh1u2,-3.6853981018066406,40.43938636779785
1319,ezjqh44c,-3.687458038330078,40.44093132019043
1321,ezjqh1g7,-3.6867713928222656,40.43990135192871
1322,ezjqh14q,-3.6881446838378906,40.436296463012695
1334,ezjq5cht,-3.6960411071777344,40.43612480163574
1341,ezjqh1c9,-3.6891746520996094,40.439558029174805
1348,ezjqh1uq,-3.6853981018066406,40.44041633605957
1349,ezjq5byk,-3.6936378479003906,40.434579849243164
1352,ezjqh1ur,-3.6853981018066406,40.44058799743652
1353,ezjq5c56,-3.6977577209472656,40.43560981750488
1361,ezjqh1fv,-3.687458038330078,40.44024467468262
1363,ezjq5cp5,-3.692607879638672,40.435781478881836
1377,ezjq5fjz,-3.694324493408203,40.44196128845215
1388,ezjq5bg3,-3.6977577209472656,40.434064865112305
1390,ezjqh150,-3.687114715576172,40.43526649475098
1392,ezjqh1ej,-3.687114715576172,40.43887138366699
1393,ezjqh1e5,-3.687114715576172,40.438528060913086
1395,ezjq5crf,-3.691577911376953,40.43698310852051
1406,ezjq5ce7,-3.6977577209472656,40.438528060913086
1416,ezjqh139,-3.6891746520996094,40.436811447143555
1420,ezjq5fj5,-3.695354461669922,40.441274642944336
1422,ezjqh19u,-3.688831329345703,40.43869972229004
1425,ezjqh0g5,-3.687114715576172,40.43440818786621
1428,ezjqh17g,-3.686084747314453,40.43715476989746
1437,ezjqh1d7,-3.6881446838378906,40.438528060913086
1438,ezjqh1u0,-3.685741424560547,40.43938636779785
1439,ezjqh4h2,-3.6853981018066406,40.44075965881348
1442,ezjqh1fn,-3.688488006591797,40.44041633605957
1447,ezjqh19s,-3.6891746520996094,40.43869972229004
1467,ezjq5cyk,-3.6936378479003906,40.440073013305664
1469,ezjq5bsj,-3.696727752685547,40.43337821960449
1470,ezjq5cmn,-3.695354461669922,40.43766975402832
1484,ezjqh1ff,-3.687458038330078,40.43972969055176
1490,ezjqh14n,-3.688488006591797,40.436296463012695
1491,ezjqh18z,-3.690204620361328,40.4392147064209
1495,ezjqh14c,-3.687458038330078,40.43543815612793
1497,ezjqh1fy,-3.687458038330078,40.44041633605957
1500,ezjq5fnq,-3.6936378479003906,40.441789627075195
1503,ezjqh40e,-3.6905479431152344,40.441274642944336
1506,ezjqh106,-3.6908912658691406,40.43560981750488
1508,ezjqh1dg,-3.687458038330078,40.438528060913086
1514,ezjq5ctk,-3.6950111389160156,40.43869972229004
1516,ezjq5cru,-3.691577911376953,40.437326431274414
1527,ezjqh45d,-3.6864280700683594,40.44110298156738
1531,ezjqh1u6,-3.6853981018066406,40.43972969055176
1534,ezjqh0c5,-3.689861297607422,40.43440818786621
1556,ezjq5cvd,-3.6946678161621094,40.43972969055176
1558,ezjq5cqk,-3.6936378479003906,40.437326431274414
1571,ezjq5fj3,-3.6950111389160156,40.44093132019043
1572,ezjq5fnz,-3.692951202392578,40.44196128845215
1575,ezjqh1un,-3.685741424560547,40.44041633605957
1580,ezjqh0ft,-3.6878013610839844,40.43475151062012
1591,ezjqh0ep,-3.687114715576172,40.4337215423584
1606,ezjqh1f4,-3.688488006591797,40.43972969055176
1611,ezjq5bsy,-3.695697784423828,40.433549880981445
1613,ezjqh1d4,-3.688488006591797,40.43835639953613
1617,ezjq5crm,-3.6922645568847656,40.43749809265137
1619,ezjqh1de,-3.6878013610839844,40.438528060913086
1625,ezjq5c5k,-3.6977577209472656,40.43595314025879
1628,ezjqh1sk,-3.6853981018066406,40.43869972229004
1633,ezjqh412,-3.6895179748535156,40.44075965881348
1644,ezjqh4hq,-3.6853981018066406,40.441789627075195
1651,ezjqh1et,-3.6864280700683594,40.43887138366699
1653,ezjqh1f9,-3.6878013610839844,40.439558029174805
1654,ezjq5c77,-3.6977577209472656,40.43715476989746
1656,ezjqh454,-3.687114715576172,40.44110298156738
1657,ezjq5btt,-3.6946678161621094,40.43337821960449
1662,ezjq5cmf,-3.694324493408203,40.43698310852051
1663,ezjq5czk,-3.6922645568847656,40.440073013305664
1664,ezjq5cey,-3.697071075439453,40.439043045043945
1668,ezjqh16j,-3.688488006591797,40.43749809265137
1672,ezjqh41t,-3.6891746520996094,40.44161796569824
1684,ezjq5cwk,-3.6936378479003906,40.43869972229004
1686,ezjq5cjh,-3.695354461669922,40.43595314025879
1687,ezjqh0gj,-3.687114715576172,40.43475151062012
1689,ezjqh14r,-3.6881446838378906,40.43646812438965
1691,ezjqh0gb,-3.686084747314453,40.43389320373535
1692,ezjq5c7m,-3.6977577209472656,40.43749809265137
1696,ezjqh1fj,-3.688488006591797,40.44024467468262
1708,ezjqh0cm,-3.6895179748535156,40.43475151062012
1709,ezjqh44x,-3.6878013610839844,40.44196128845215
1710,ezjqh1cz,-3.688831329345703,40.44058799743652
1712,ezjq5cz6,-3.6922645568847656,40.43972969055176
1726,ezjqh1k4,-3.685741424560547,40.43698310852051
1729,ezjqh45r,-3.6867713928222656,40.44196128845215
1733,ezjq5cqm,-3.6936378479003906,40.43749809265137
1742,ezjqh1gq,-3.6867713928222656,40.44041633605957
1743,ezjqh1em,-3.6867713928222656,40.43887138366699
1744,ezjqh0fg,-3.687458038330078,40.43440818786621
1754,ezjqh0bb,-3.690204620361328,40.43389320373535
1758,ezjqh1cq,-3.6895179748535156,40.44041633605957
1761,ezjqh1u7,-3.6853981018066406,40.43990135192871
1762,ezjqh0bd,-3.6905479431152344,40.43423652648926
1763,ezjq5fh6,-3.6963844299316406,40.44110298156738
1768,ezjqh09p,-3.689861297607422,40.4337215423584
1769,ezjqh40d,-3.6905479431152344,40.44110298156738
1772,ezjq5fpn,-3.692607879638672,40.441789627075195
1782,ezjqh08z,-3.690204620361328,40.4337215423584
1784,ezjqh1f6,-3.6881446838378906,40.43972969055176
1785,ezjqh0fx,-3.6878013610839844,40.43509483337402
1787,ezjqh08t,-3.6905479431152344,40.43337821960449
1789,ezjqh1kh,-3.685741424560547,40.437326431274414
1791,ezjqh1dm,-3.6881446838378906,40.43887138366699
1793,ezjqh1fu,-3.687458038330078,40.440073013305664
1794,ezjq5chs,-3.6960411071777344,40.43595314025879
1798,ezjqh1sn,-3.685741424560547,40.439043045043945
1800,ezjqh0ey,-3.686084747314453,40.433549880981445
1801,ezjqh1f8,-3.6878013610839844,40.43938636779785
1803,ezjq5c7t,-3.6974143981933594,40.43749809265137
1806,ezjqh0g1,-3.687114715576172,40.434064865112305
1808,ezjqh41f,-3.688831329345703,40.44110298156738
1814,ezjqh19g,-3.688831329345703,40.438528060913086
1822,ezjqh0gp,-3.687114715576172,40.43509483337402
1825,ezjq5bem,-3.6977577209472656,40.43337821960449
1827,ezjqh09n,-3.689861297607422,40.433549880981445
1832,ezjq5cvh,-3.695354461669922,40.440073013305664
1837,ezjq5c7r,-3.6977577209472656,40.43784141540527
1842,ezjqh1g4,-3.687114715576172,40.43972969055176
1851,ezjqh16b,-3.687458038330078,40.4366397857666
1852,ezjq5bgv,-3.697071075439453,40.43475151062012
1859,ezjq5bgk,-3.6977577209472656,40.434579849243164
1863,ezjqh0fv,-3.687458038330078,40.43475151062012
1865,ezjq5bge,-3.6974143981933594,40.43440818786621
1873,ezjqh10e,-3.6905479431152344,40.435781478881836
1876,ezjq5cre,-3.6919212341308594,40.43715476989746
1880,ezjq5bgd,-3.6974143981933594,40.43423652648926
1883,ezjq5cwn,-3.693981170654297,40.439043045043945
